Epoch,From Square Accuracy (%),From Square Loss,Loss,Position Eval Loss,Position Eval MAE,To Square Accuracy (%),To Square Loss,Val From Square Accuracy (%),Val From Square Loss,Val Loss,Val Position Eval Loss,Val Position Eval MAE,Val To Square Accuracy (%),Val To Square Loss,Learning Rate
1,2823.00%,2.5628,61.1538,54.7828,2.4485,1047.00%,3.6619,3497.00%,2.0662,62.9907,57.3146,2.5149,1476.00%,3.3632,0.001
2,3325.00%,2.2387,60.6022,54.7389,2.4348,1268.00%,3.4783,3640.00%,1.9869,62.8425,57.3085,2.5086,1525.00%,3.3092,0.001
3,3535.00%,2.1377,60.4183,54.7361,2.4262,1381.00%,3.4092,3706.00%,1.9641,62.7752,57.3006,2.4986,1612.00%,3.2698,0.001
4,3699.00%,2.0687,60.2934,54.7374,2.4223,1475.00%,3.354,3820.00%,1.9475,62.7542,57.3076,2.5027,1673.00%,3.2547,0.001
5,3803.00%,2.007,60.1809,54.7179,2.4194,1574.00%,3.3038,3754.00%,1.9539,62.7475,57.3047,2.5031,1726.00%,3.2401,0.001
6,3924.00%,1.9664,60.0977,54.7137,2.416,1666.00%,3.2614,3767.00%,1.9345,62.6986,57.2923,2.4887,1776.00%,3.2187,0.001
7,4022.00%,1.9278,60.0252,54.7217,2.4155,1721.00%,3.223,3801.00%,1.9589,62.7351,57.3035,2.5014,1819.00%,3.2165,0.001
8,4129.00%,1.8879,59.9518,54.715,2.4141,1792.00%,3.1904,3853.00%,1.955,62.7298,57.3088,2.5158,1782.00%,3.2073,0.001
9,4212.00%,1.8524,59.8751,54.7083,2.4118,1854.00%,3.1478,3812.00%,1.9723,62.7358,57.2877,2.4869,1753.00%,3.2144,0.001
10,4301.00%,1.8143,59.799,54.705,2.4081,1946.00%,3.1119,3770.00%,2.0118,62.7721,57.2887,2.4849,1793.00%,3.2072,0.001
